,strata,country,age_gender,urbanisation,education,population,pop_country,margins
1,1,Austria,1,1,1,63616,7321812,0.00868856
2,2,Austria,1,1,2,15018,7321812,0.002051132
3,3,Austria,1,2,1,233768,7321812,0.031927616
4,4,Austria,1,2,2,55185,7321812,0.007537069
5,5,Austria,2,1,1,251198,7321812,0.034308174
6,6,Austria,2,1,2,142013,7321812,0.019395882
7,7,Austria,2,2,1,141969,7321812,0.019389872
8,8,Austria,2,2,2,80261,7321812,0.010961904
9,9,Austria,3,1,1,218829,7321812,0.029887274
10,10,Austria,3,1,2,127108,7321812,0.017360184
11,11,Austria,3,2,1,151738,7321812,0.020724105
12,12,Austria,3,2,2,88138,7321812,0.012037731
13,13,Austria,4,1,1,297805,7321812,0.040673675
14,14,Austria,4,1,2,143102,7321812,0.019544615
15,15,Austria,4,2,1,160607,7321812,0.021935417
16,16,Austria,4,2,2,77175,7321812,0.010540424
17,17,Austria,5,1,1,371845,7321812,0.050785926
18,18,Austria,5,1,2,155103,7321812,0.021183691
19,19,Austria,5,2,1,49088,7321812,0.006704351
20,20,Austria,5,2,2,20475,7321812,0.002796439
21,21,Austria,6,1,1,340000,7321812,0.046436592
22,22,Austria,6,1,2,137941,7321812,0.018839735
23,23,Austria,6,2,1,174116,7321812,0.023780452
24,24,Austria,6,2,2,70641,7321812,0.009648022
25,25,Austria,7,1,1,79332,7321812,0.010835023
26,26,Austria,7,1,2,28378,7321812,0.003875817
27,27,Austria,7,2,1,174709,7321812,0.023861443
28,28,Austria,7,2,2,62496,7321812,0.008535592
29,29,Austria,8,1,1,234817,7321812,0.032070886
30,30,Austria,8,1,2,191354,7321812,0.026134787
31,31,Austria,8,2,1,91058,7321812,0.012436539
32,32,Austria,8,2,2,74204,7321812,0.01013465
33,33,Austria,9,1,1,238514,7321812,0.032575816
34,34,Austria,9,1,2,148131,7321812,0.020231467
35,35,Austria,9,2,1,119771,7321812,0.016358109
36,36,Austria,9,2,2,74385,7321812,0.01015937
37,37,Austria,10,1,1,368903,7321812,0.050384113
38,38,Austria,10,1,2,134522,7321812,0.018372774
39,39,Austria,10,2,1,128992,7321812,0.017617497
40,40,Austria,10,2,2,47037,7321812,0.006424229
41,41,Austria,11,1,1,359925,7321812,0.049157913
42,42,Austria,11,1,2,81074,7321812,0.011072942
43,43,Austria,11,2,1,140882,7321812,0.019241412
44,44,Austria,11,2,2,31734,7321812,0.004334173
45,45,Austria,12,1,1,497345,7321812,0.067926491
46,46,Austria,12,1,2,95681,7321812,0.01306794
47,47,Austria,12,2,1,295064,7321812,0.040299314
48,48,Austria,12,2,2,56765,7321812,0.007752862
49,1,Belgium,1,1,1,84414,9140531,0.009235131
50,2,Belgium,1,1,2,15218,9140531,0.001664892
51,3,Belgium,1,2,1,317030,9140531,0.034683981
52,4,Belgium,1,2,2,57152,9140531,0.006252591
53,5,Belgium,2,1,1,169309,9140531,0.018522885
54,6,Belgium,2,1,2,115507,9140531,0.012636793
55,7,Belgium,2,2,1,272421,9140531,0.02980363
56,8,Belgium,2,2,2,185853,9140531,0.020332845
57,9,Belgium,3,1,1,173530,9140531,0.018984674
58,10,Belgium,3,1,2,118762,9140531,0.012992899
59,11,Belgium,3,2,1,269196,9140531,0.029450805
60,12,Belgium,3,2,2,184235,9140531,0.020155831
61,13,Belgium,4,1,1,53277,9140531,0.005828655
62,14,Belgium,4,1,2,30269,9140531,0.003311514
63,15,Belgium,4,2,1,456747,9140531,0.049969416
64,16,Belgium,4,2,2,259499,9140531,0.028389926
65,17,Belgium,5,1,1,200909,9140531,0.021980014
66,18,Belgium,5,1,2,87915,9140531,0.00961815
67,19,Belgium,5,2,1,317911,9140531,0.034780365
68,20,Belgium,5,2,2,139113,9140531,0.015219357
69,21,Belgium,6,1,1,414580,9140531,0.045356227
70,22,Belgium,6,1,2,172900,9140531,0.01891575
71,23,Belgium,6,2,1,257514,9140531,0.028172762
72,24,Belgium,6,2,2,107396,9140531,0.011749427
73,25,Belgium,7,1,1,192431,9140531,0.021052497
74,26,Belgium,7,1,2,64409,9140531,0.007046527
75,27,Belgium,7,2,1,147771,9140531,0.016166566
76,28,Belgium,7,2,2,49461,9140531,0.005411174
77,29,Belgium,8,1,1,181319,9140531,0.019836813
78,30,Belgium,8,1,2,214693,9140531,0.023488023
79,31,Belgium,8,2,1,157608,9140531,0.017242762
80,32,Belgium,8,2,2,186617,9140531,0.020416429
81,33,Belgium,9,1,1,193162,9140531,0.02113247
82,34,Belgium,9,1,2,201890,9140531,0.022087338
83,35,Belgium,9,2,1,167409,9140531,0.018315019
84,36,Belgium,9,2,2,174973,9140531,0.019142542
85,37,Belgium,10,1,1,156990,9140531,0.017175151
86,38,Belgium,10,1,2,111176,9140531,0.01216297
87,39,Belgium,10,2,1,300028,9140531,0.032823914
88,40,Belgium,10,2,2,212471,9140531,0.02324493
89,41,Belgium,11,1,1,249239,9140531,0.027267453
90,42,Belgium,11,1,2,111901,9140531,0.012242287
91,43,Belgium,11,2,1,272429,9140531,0.029804505
92,44,Belgium,11,2,2,122313,9140531,0.013381389
93,45,Belgium,12,1,1,504987,9140531,0.055247009
94,46,Belgium,12,1,2,188479,9140531,0.020620137
95,47,Belgium,12,2,1,377297,9140531,0.041277361
96,48,Belgium,12,2,2,140821,9140531,0.015406217
97,1,Bulgaria,1,1,1,44604,5810090,0.00767699
98,2,Bulgaria,1,1,2,2038,5810090,0.000350769
99,3,Bulgaria,1,2,1,170946,5810090,0.029422264
100,4,Bulgaria,1,2,2,7809,5810090,0.001344041
101,5,Bulgaria,2,1,1,251846,5810090,0.043346316
102,6,Bulgaria,2,1,2,94673,5810090,0.016294584
103,7,Bulgaria,2,2,1,84810,5810090,0.01459702
104,8,Bulgaria,2,2,2,31881,5810090,0.005487178
105,9,Bulgaria,3,1,1,174594,5810090,0.030050137
106,10,Bulgaria,3,1,2,47275,5810090,0.008136707
107,11,Bulgaria,3,2,1,245550,5810090,0.042262684
108,12,Bulgaria,3,2,2,66487,5810090,0.011443368
109,13,Bulgaria,4,1,1,41282,5810090,0.007105226
110,14,Bulgaria,4,1,2,10663,5810090,0.001835256
111,15,Bulgaria,4,2,1,357501,5810090,0.061531061
112,16,Bulgaria,4,2,2,92337,5810090,0.015892525
113,17,Bulgaria,5,1,1,139053,5810090,0.02393302
114,18,Bulgaria,5,1,2,34350,5810090,0.005912129
115,19,Bulgaria,5,2,1,229251,5810090,0.039457392
116,20,Bulgaria,5,2,2,56632,5810090,0.009747181
117,21,Bulgaria,6,1,1,319662,5810090,0.055018425
118,22,Bulgaria,6,1,2,73384,5810090,0.012630441
119,23,Bulgaria,6,2,1,168304,5810090,0.028967538
120,24,Bulgaria,6,2,2,38637,5810090,0.006649983
121,25,Bulgaria,7,1,1,118476,5810090,0.020391423
122,26,Bulgaria,7,1,2,9717,5810090,0.001672435
123,27,Bulgaria,7,2,1,78374,5810090,0.013489292
124,28,Bulgaria,7,2,2,6428,5810090,0.001106351
125,29,Bulgaria,8,1,1,101391,5810090,0.017450848
126,30,Bulgaria,8,1,2,70733,5810090,0.012174166
127,31,Bulgaria,8,2,1,155390,5810090,0.026744852
128,32,Bulgaria,8,2,2,108405,5810090,0.018658059
129,33,Bulgaria,9,1,1,192498,5810090,0.033131673
130,34,Bulgaria,9,1,2,114757,5810090,0.019751329
131,35,Bulgaria,9,2,1,121007,5810090,0.020827044
132,36,Bulgaria,9,2,2,72138,5810090,0.012415987
133,37,Bulgaria,10,1,1,175205,5810090,0.030155299
134,38,Bulgaria,10,1,2,83446,5810090,0.014362256
135,39,Bulgaria,10,2,1,153777,5810090,0.026467232
136,40,Bulgaria,10,2,2,73241,5810090,0.012605829
137,41,Bulgaria,11,1,1,286826,5810090,0.049366877
138,42,Bulgaria,11,1,2,105484,5810090,0.018155313
139,43,Bulgaria,11,2,1,77717,5810090,0.013376213
140,44,Bulgaria,11,2,2,28581,5810090,0.004919201
141,45,Bulgaria,12,1,1,367183,5810090,0.063197472
142,46,Bulgaria,12,1,2,112002,5810090,0.019277154
143,47,Bulgaria,12,2,1,317039,5810090,0.054566969
144,48,Bulgaria,12,2,2,96706,5810090,0.016644493
145,1,Croatia,1,1,1,62072,3370617,0.018415619
146,2,Croatia,1,1,2,3427,3370617,0.001016728
147,3,Croatia,1,2,1,97525,3370617,0.028933872
148,4,Croatia,1,2,2,5384,3370617,0.001597334
149,5,Croatia,2,1,1,138935,3370617,0.041219456
150,6,Croatia,2,1,2,54716,3370617,0.01623323
151,7,Croatia,2,2,1,45230,3370617,0.013418908
152,8,Croatia,2,2,2,17813,3370617,0.005284789
153,9,Croatia,3,1,1,100967,3370617,0.02995505
154,10,Croatia,3,1,2,32919,3370617,0.009766461
155,11,Croatia,3,2,1,112687,3370617,0.033432158
156,12,Croatia,3,2,2,36740,3370617,0.010900081
157,13,Croatia,4,1,1,147625,3370617,0.043797619
158,14,Croatia,4,1,2,30450,3370617,0.009033954
159,15,Croatia,4,2,1,80224,3370617,0.023800984
160,16,Croatia,4,2,2,16547,3370617,0.00490919
161,17,Croatia,5,1,1,191033,3370617,0.056675974
162,18,Croatia,5,1,2,45344,3370617,0.01345273
163,19,Croatia,5,2,1,40337,3370617,0.011967245
164,20,Croatia,5,2,2,9575,3370617,0.002840726
165,21,Croatia,6,1,1,163859,3370617,0.048613948
166,22,Croatia,6,1,2,41487,3370617,0.012308429
167,23,Croatia,6,2,1,107640,3370617,0.031934806
168,24,Croatia,6,2,2,27253,3370617,0.008085463
169,25,Croatia,7,1,1,55093,3370617,0.016345079
170,26,Croatia,7,1,2,6194,3370617,0.001837646
171,27,Croatia,7,2,1,87751,3370617,0.026034106
172,28,Croatia,7,2,2,9866,3370617,0.002927061
173,29,Croatia,8,1,1,57776,3370617,0.017141075
174,30,Croatia,8,1,2,43293,3370617,0.012844236
175,31,Croatia,8,2,1,82133,3370617,0.024367349
176,32,Croatia,8,2,2,61544,3370617,0.018258972
177,33,Croatia,9,1,1,80679,3370617,0.023935974
178,34,Croatia,9,1,2,43226,3370617,0.012824358
179,35,Croatia,9,2,1,97799,3370617,0.029015163
180,36,Croatia,9,2,2,52398,3370617,0.015545522
181,37,Croatia,10,1,1,65929,3370617,0.01955992
182,38,Croatia,10,1,2,17002,3370617,0.00504418
183,39,Croatia,10,2,1,154479,3370617,0.045831075
184,40,Croatia,10,2,2,39838,3370617,0.011819201
185,41,Croatia,11,1,1,104768,3370617,0.031082736
186,42,Croatia,11,1,2,23305,3370617,0.006914164
187,43,Croatia,11,2,1,146859,3370617,0.043570361
188,44,Croatia,11,2,2,32668,3370617,0.009691994
189,45,Croatia,12,1,1,199068,3370617,0.05905981
190,46,Croatia,12,1,2,42682,3370617,0.012662963
191,47,Croatia,12,2,1,211196,3370617,0.062657964
192,48,Croatia,12,2,2,45282,3370617,0.013434336
193,1,Cyprus,1,1,1,8364,662762,0.012619915
194,2,Cyprus,1,1,2,1111,662762,0.001676318
195,3,Cyprus,1,2,1,27251,662762,0.041117324
196,4,Cyprus,1,2,2,3620,662762,0.005461991
197,5,Cyprus,2,1,1,26122,662762,0.039413847
198,6,Cyprus,2,1,2,26045,662762,0.039297666
199,7,Cyprus,2,2,1,10174,662762,0.01535091
200,8,Cyprus,2,2,2,10144,662762,0.015305645
201,9,Cyprus,3,1,1,15196,662762,0.022928291
